"title","arxiv_link","aggregate_score","upvotes","likes","github_stars","github_link","published_at","authors"
"COLLEAGUE.SKILL: Automated AI Skill Generation via Expert Knowledge Distillation","https://arxiv.org/abs/2605.31264",20000,120,0,19880,"https://github.com/titanwings/colleague-skill","2026-06-01","Tianyi Zhou; Dongrui Liu; Leitao Yuan; Jing Shao; Xia Hu"
"Unlimited OCR Works","https://arxiv.org/abs/2606.23050",11677,0,111,11566,"https://github.com/baidu/Unlimited-OCR","2026-06-22","Youyang Yin; Huanhuan Liu; Qunyi Xie; Chaorun Liu; Shiqi Yang; Shaohua Wang; Zhanlong Liu; Hao Zou; Jinyue Chen; Shu Wei; Jingjing Wu; Mingxin Huang; Zhen Wu; Guibin Wang; Tengyu Du; et al. (16 authors)"
"Cosmos 3: Omnimodal World Models for Physical AI","https://arxiv.org/abs/2606.02800",11110,136,296,10678,"https://github.com/NVIDIA/cosmos","2026-06-04","Aditi; Niket Agarwal; Arslan Ali; Jon Allen; Martin Antolini; Adeline Aubame; Alisson Azzolini; Junjie Bai; Maciej Bala; Yogesh Balaji; Josh Bapst; Aarti Basant; Mukesh Beladiya; Mohammad Qazim Bhat; Zaid Pervaiz Bhat; et al. (291 authors)"
"Improved Large Language Diffusion Models","https://arxiv.org/abs/2606.25331",3907,0,51,3856,"https://github.com/ML-GSAI/LLaDA","2026-06-24","Shen Nie; Qiyang Min; Shaoxuan Xu; Zihao Huang; Yuxuan Song; Yong Shan; Yankai Lin; Wayne Xin Zhao; Chongxuan Li; Ji-Rong Wen"
"VibeThinker-3B: Exploring the Frontier of Verifiable Reasoning in Small Language Models","https://arxiv.org/abs/2606.16140",1700,119,168,1413,"https://github.com/WeiboAI/VibeThinker","2026-06-16","Sen Xu; Shixi Liu; Wei Wang; Jixin Min; Yingwei Dai; Zhibin Yin; Yirong Chen; Xin Zhou; Junlin Zhang"
"Agents' Last Exam","https://arxiv.org/abs/2606.05405",1381,368,254,759,"https://github.com/rdi-berkeley/agents-last-exam","2026-06-09","Yiyou Sun; Xinyang Han; Weichen Zhang; Yuanbo Pang; Tianyu Wang; Yuhan Cao; Yixiao Huang; Chris Duroiu; Haoyun Zhang; Jeffrey Lin; Weishu Zhang; Tyler Zeng; Ying Yan; Bo Liu; Hanson Wen; et al. (308 authors)"
"WALL-WM: Carving World Action Modeling at the Event Joints","https://arxiv.org/abs/2606.01955",1221,0,103,1118,"https://github.com/X-Square-Robot/wall-x","2026-06-01","Shalfun Li; Victor Yao; Charles Yang; Truth Qu; Regis Cheng; Ryan Yu; Howard Lu; Newton Von; Vincent Chen; Yohann Tang; Maeve Zhang; Ellie Ma; Gody Li; Sage Yang; Lorien Shu; et al. (31 authors)"
"FastContext: Training Efficient Repository Explorer for Coding Agents","https://arxiv.org/abs/2606.14066",1088,93,0,995,"https://github.com/microsoft/fastcontext","2026-06-16","Shaoqiu Zhang; Maoquan Wang; Yuling Shi; Yuhang Wang; Xiaodong Gu; Yongqiang Yao; Rao Fu; Shengyu Fu"
"Kwai Keye-VL-2.0 Technical Report","https://arxiv.org/abs/2606.10651",1062,192,72,798,"https://github.com/Kwai-Keye/Keye","2026-06-10","Kwai Keye Team; Bin Wen; Changyi Liu; Chengru Song; Chongling Rao; Guowang Zhang; Han Li; Haonan Fan; Hengrui Ju; Jiankang Chen; Jiapeng Chen; Jiawei Yuan; Kaixuan Yang; Kaiyu Jiang; Kun Gai; et al. (53 authors)"
"Toward Generalist Autonomous Research via Hypothesis-Tree Refinement","https://arxiv.org/abs/2606.11926",1002,121,83,798,"https://github.com/RUC-NLPIR/Arbor","2026-06-11","Jiajie Jin; Yuyang Hu; Kai Qiu; Qi Dai; Chong Luo; Guanting Dong; Xiaoxi Li; Tong Zhao; Xiaolong Ma; Gongrui Zhang; Zhirong Wu; Bei Liu; Zhengyuan Yang; Linjie Li; Lijuan Wang; et al. (18 authors)"
